pid,stad,size,sum,own_base,shrunk,edge_pp,stat,name,role,team,last_season
00-0034816,Raymond James Stadium,12,8,0.56,0.6000000000000001,4.0,rush_yards,R.Jones,RB,KC,2022
00-0036247,Lumen Field,8,4,0.36363636363636365,0.4025974025974026,3.9,rec_yards,F.Swain,WR,DEN,2022
00-0031387,Heinz Field,9,8,0.7647058823529411,0.8032454361054766,3.9,rec_yards,E.Ebron,TE,PIT,2021
00-0032791,Hard Rock Stadium,6,5,0.6666666666666666,0.7051282051282051,3.8,rec_yards,J.Grant,WR,CHI,2021
00-0032764,NRG Stadium,4,3,0.5205479452054794,0.5587899543378995,3.8,rush_yards,D.Henry,RB,BAL,2025
00-0036572,Bank of America Stadium,6,4,0.5,0.5384615384615384,3.8,rec_yards,S.Smith,WR,CAR,2022
00-0027685,Mercedes-Benz Superdome,6,4,0.5,0.5384615384615384,3.8,rec_yards,E.Sanders,WR,BUF,2021
00-0036328,AT&T Stadium,4,3,0.5230769230769231,0.5608974358974359,3.8,rush_yards,A.Gibson,RB,NE,2025
00-0036328,Lincoln Financial Field,4,3,0.5230769230769231,0.5608974358974359,3.8,rush_yards,A.Gibson,RB,NE,2025
00-0034301,GEHA Field at Arrowhead Stadium,7,4,0.4230769230769231,0.46153846153846156,3.8,rush_yards,D.Williams,RB,ARI,2022
00-0039363,Levi's Stadium,6,4,0.5,0.5384615384615384,3.8,rush_yards,I.Guerendo,RB,SF,2024
00-0033925,Bank of America Stadium,6,4,0.5,0.5384615384615384,3.8,rush_yards,D.Foreman,RB,CLE,2024
00-0034970,U.S. Bank Stadium,6,4,0.5,0.5384615384615384,3.8,rec_yards,I.Smith,TE,CIN,2023
00-0034777,Bank of America Stadium,6,3,0.3333333333333333,0.37179487179487175,3.8,rec_yards,D.Chark,WR,LAC,2024
00-0039146,Lambeau Field,16,8,0.41379310344827586,0.4521072796934866,3.8,rec_yards,J.Reed,WR,GB,2025
00-0034750,Lumen Field,4,4,0.7777777777777778,0.8148148148148149,3.7,rush_yards,R.Penny,RB,PHI,2023
00-0034253,Nissan Stadium,5,3,0.4166666666666667,0.45333333333333337,3.7,rush_yards,D.Hilliard,RB,TEN,2022
